jmeno,prijimeni,telefonni_cislo,cislo_zamestnance,mesto,plat
Jennifer,Brown,775 545 190,86,Liberec,
Robert,Macias,+421 49 929 6856,88,Liberec,
Ivan,Bartoš,603 226 051,99,Liberec,
Jindřich,Howell,+421 39 043 0948,10,Plzeň,
Alexander,Martinez,721 195 689,13,Plzeň,
Marcel,Hájek,+421 902 928 669,35,Praha,
Karolína,Short,721 589 083,53,Praha,
Michelle,Vlčková,+421 41 720 7806,54,Praha,
John,Bailey,775 021 116,58,Praha,
William,Shelton,+421 47 745 8219,60,Praha,
Miroslava,Veselá,774 029 254,62,Praha,
Nathan,Svoboda,728 710 923,66,Praha,
Robert,Říha,727 351 984,72,Praha,
